sample_name,data_issues,fasta_file,possible_summer,mortality,mortality_code,anonymized_name,capture_timestamp,capture_group,capture_season,description,dna_extracted,elevation,empo_1,empo_2,empo_3,env_biome,env_biome_description,env_feature,env_material,env_package,geo_loc_name,host_age,host_age_units,host_common_name,host_life_stage,host_scientific_name,host_subject_id,fecal_at capture,host_taxid,host_weight,host_weight_units,latitude,longitude,physical_specimen_location,physical_specimen_remaining,qiita_study_id,sample_type,scientific_name,sex,taxon_id,serum_label,btv,ehd,study_area,i_80,capture_kit,adj_age,cor_age_calc,cor_age,cor_age_y_m_o,age_percentiles,age_by2,age_by1,age_y_m_o,body_weight,weight_percentiles,weight_5kg,weight_1kg,ss_ligament,lumbar_vert,sacrum,base_of_tail,caudal_vert,max.,b_femoris,l_dorsi,title
12842.13.001,n,N,.,unk,0,13.001,41590,2013_N,November,pronghorn feces,TRUE,2128.08,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4-5,years,pronghorn,adult,Antilocapra americana,Red25,Y,9891,52.06,kg,42.19077848,-108.6795646,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-001 RDP,Positive,Positive,Bitter Creek ,South,13-001,4.5,5.546,5.546,m,2,3,4,m,52.06,4,3,52,1.25,3,3,2.5,2,0,11,35,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.002,n,Y,.,alive,3,13.002,41591,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,5,years,pronghorn,adult,Antilocapra americana,Purple14,N,9891,50.46,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-002 RDP,N,N,Red desert,North,13-002,5,5.939,5.939,m,3,3,5,m,50.46,3,3,50,0.375,4,4,3.5,3.5,2,11,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.003,y,Y,.,alive,3,13.003,41588,2013_N,November,pronghorn feces,TRUE,2005.49,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,3.5,years,pronghorn,adult,Antilocapra americana,Orange05,N,9891,50.66,kg,41.22848056,-107.5924153,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-003 RDP,N,Positive,Baggs,South,13-013 (whirlpack 13-003),3.5,4.76,4.76,m,1,2,3,y,50.66,3,3,50,0.375,4,4,4.5,4.5,4,13,43,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.004,n,Y,.,non-capture-related mortality,2,13.004,41590,2013_N,November,pronghorn feces,TRUE,2085.3,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,7,years,pronghorn,adult,Antilocapra americana,Red22,Y,9891,45.36,kg,41.67034283,-107.9104761,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-004 RDP,N,N,Bitter Creek ,South,13-004,7,7.511,7.511,m,4,4,7,m,45.36,1,2,45,1.25,2.5,3,1.5,1.5,0,12,33,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.005,n,Y,6/6/14 no notes,alive,3,13.005,41589,2013_N,November,pronghorn feces,TRUE,2041.09,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4.5,years,pronghorn,adult,Antilocapra americana,Red17,Y,9891,46.46,kg,41.34898084,-107.800023,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-005 RDP,N,Positive,Bitter Creek ,South,13-005,4.5,5.546,5.546,m,2,3,4,m,46.46,1,2,46,0.5,4,4,4,4,2,12,33,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.0069,n,N,.,capture-related mortality,1,13.069,41589,2013_N,November,pronghorn feces,TRUE,2067,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,2,years,pronghorn,adult,Antilocapra americana,13.069,N,9891,49.96,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-069 RDP,N,N,Baggs,South,13-069,2,3.581,3.581,y,1,1,2,y,49.96,3,2,49,0.25,4,5,5,4.5,3,14,37,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.007,n,Y,.,alive,3,13.007,41589,2013_N,November,pronghorn feces,TRUE,2011.35,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,6.5,years,pronghorn,adult,Antilocapra americana,Red05,N,9891,49.56,kg,41.32187925,-107.6418996,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-007 RDP,N,N,Baggs,South,13-007,6.5,7.118,7.118,m,3,4,6,m,49.56,3,2,49,0.25,4,4,4,4,3,14,39,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.008,n,Y,.,unk,0,13.008,41591,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,3.5,years,pronghorn,adult,Antilocapra americana,Purple15,Y,9891,56.66,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-008 RDP,N,N,Red desert,North,13-008,3.5,4.76,4.76,m,1,2,3,y,56.66,4,4,56,1.25,3.5,3.5,2,2,0,15,43,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.009,n,Y,.,capture-related mortality,1,13.009,41589,2013_N,November,pronghorn feces,TRUE,2068.9,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,7,years,pronghorn,adult,Antilocapra americana,Red24,Y,9891,50.86,kg,41.38010017,-107.8026068,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-009 RDP,N,N,Bitter Creek ,South,13-009,7,7.511,7.511,m,4,4,7,m,50.86,3,3,50,0.75,4,3.5,3,3,1,13,41,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.01,n,Y,.,alive,3,13.01,41589,2013_N,November,pronghorn feces,TRUE,2080.51,Host-asssociated,Animal,Animal distal gut,grassland biome,sagebrush steppe,animal-associated habitat,feces,host-associated,USA:WY:Red Desert,4,years,pronghorn,adult,Antilocapra americana,Red06,N,9891,44.96,kg,41.64684378,-108.0228734,BSU 4B,TRUE,12842,feces,feces metagenome,female,1861841,13-010 RDP,N,N,Baggs,South,13-010,4,5.153,5.153,m,2,2,4,m,44.96,1,1,44,1,3,3,2.5,2.5,0,10,35,Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
