sample_name	fasta_file	possible_summer	mortality	mortality_code	anonymized_name	capture_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_biome_description	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_common_name	host_life_stage	host_scientific_name	host_subject_id	fecal_at capture	host_taxid	host_weight	host_weight_units	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	taxon_id	serum_label	btv	ehd	study_area	capture_kit	adj_age	age_percentiles	age_by2	age_by1	body_weight	weight_percentiles	weight_5kg	weight_1kg	ss_ligament	lumbar_vert	sacrum	base_of_tail	caudal_vert	max.	b_femoris	l_dorsi	title
12842.13.001	N	.	unk	0	13.001	11/12/2013	pronghorn feces	TRUE	2128.08	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4-5	years	pronghorn	adult	Antilocapra americana	Red25	Y	9891	52.06	kg	42.19078	-108.68	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-001 RDP	Positive	Positive	Bitter Creek	13-001	4.5	2	3	4	52.06	4	3	52	1.25	3	3	2.5	2	0	11	35	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.002	Y	.	alive	3	13.002	11/13/2013	pronghorn feces	TRUE	2080.51	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5	years	pronghorn	adult	Antilocapra americana	Purple14	N	9891	50.46	kg	41.64684	-108.023	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-002 RDP	N	N	Red desert	13-002	5	3	3	5	50.46	3	3	50	0.375	4	4	3.5	3.5	2	11	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.003	Y	.	alive	3	13.003	11/10/2013	pronghorn feces	TRUE	2005.49	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	3.5	years	pronghorn	adult	Antilocapra americana	Orange05	N	9891	50.66	kg	41.22848	-107.592	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-003 RDP	N	Positive	Baggs	13-013 (whirlpack 13-003)	3.5	1	2	3	50.66	3	3	50	0.375	4	4	4.5	4.5	4	13	43	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.004	Y	.	non-capture-related mortality	2	13.004	11/12/2013	pronghorn feces	TRUE	2085.3	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	7	years	pronghorn	adult	Antilocapra americana	Red22	Y	9891	45.36	kg	41.67034	-107.91	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-004 RDP	N	N	Bitter Creek	13-004	7	4	4	7	45.36	1	2	45	1.25	2.5	3	1.5	1.5	0	12	33	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.005	Y	6/6/14 no notes	alive	3	13.005	11/11/2013	pronghorn feces	TRUE	2041.09	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4.5	years	pronghorn	adult	Antilocapra americana	Red17	Y	9891	46.46	kg	41.34898	-107.8	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-005 RDP	N	Positive	Bitter Creek	13-005	4.5	2	3	4	46.46	1	2	46	0.5	4	4	4	4	2	12	33	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.0069	N	.	capture-related mortality	1	13.069	11/11/2013	pronghorn feces	TRUE	2067	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	2	years	pronghorn	adult	Antilocapra americana	13.069	N	9891	49.96	kg	41.64684	-108.023	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-069 RDP	N	N	Baggs	13-069	2	1	1	2	49.96	3	2	49	0.25	4	5	5	4.5	3	14	37	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.007	Y	.	alive	3	13.007	11/11/2013	pronghorn feces	TRUE	2011.35	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	6.5	years	pronghorn	adult	Antilocapra americana	Red05	N	9891	49.56	kg	41.32188	-107.642	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-007 RDP	N	N	Baggs	13-007	6.5	3	4	6	49.56	3	2	49	0.25	4	4	4	4	3	14	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.008	Y	.	unk	0	13.008	11/13/2013	pronghorn feces	TRUE	2080.51	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	3.5	years	pronghorn	adult	Antilocapra americana	Purple15	Y	9891	56.66	kg	41.64684	-108.023	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-008 RDP	N	N	Red desert	13-008	3.5	1	2	3	56.66	4	4	56	1.25	3.5	3.5	2	2	0	15	43	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.009	Y	.	capture-related mortality	1	13.009	11/11/2013	pronghorn feces	TRUE	2068.9	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	7	years	pronghorn	adult	Antilocapra americana	Red24	Y	9891	50.86	kg	41.3801	-107.803	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-009 RDP	N	N	Bitter Creek	13-009	7	4	4	7	50.86	3	3	50	0.75	4	3.5	3	3	1	13	41	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.01	Y	.	alive	3	13.01	11/11/2013	pronghorn feces	TRUE	2080.51	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4	years	pronghorn	adult	Antilocapra americana	Red06	N	9891	44.96	kg	41.64684	-108.023	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-010 RDP	N	N	Baggs	13-010	4	2	2	4	44.96	1	1	44	1	3	3	2.5	2.5	0	10	35	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.011	Y	.	non-capture-related mortality	2	13.011	11/11/2013	pronghorn feces	TRUE	2024.78	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	10+	years	pronghorn	adult	Antilocapra americana	Red01	Y	9891	49.86	kg	41.41102	-107.826	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-011 RDP	N	N	Bitter Creek	13-011	10	4	5	10	49.86	3	2	49	1.25	3	3	2.5	2.5	0	12	38	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.012	Y	7/18/14 likely hers	non-capture-realted mortality	2	13.012	11/10/2013	pronghorn feces	TRUE	2046.68	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	3	years	pronghorn	adult	Antilocapra americana	Red07	Y	9891	48.46	kg	41.28327	-107.717	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-012 RDP	Positive	Positive	Baggs	13-012	3	1	2	3	48.46	2	2	48	0.5	3.5	4	4	3.5	2	13	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.013	Y	.	alive	3	13.013	11/10/2013	pronghorn feces	TRUE	2036.25	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	4	years	pronghorn	adult	Antilocapra americana	Red18	Y	9891	47.96	kg	41.23113	-107.606	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-013 RDP	N	N	Baggs	13-003 (whirlpack 13-013)	4	2	2	4	47.96	2	2	47	0.375	3.5	4	4	4	4	12	39	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.014	Y	.	alive	3	13.014	11/14/2013	pronghorn feces	TRUE	2114.04	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	7	years	pronghorn	adult	Antilocapra americana	Yellow09	Y	9891	51.26	kg	42.18556	-108.654	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-014 RDP	N	N	Red desert	13-014	7	4	4	7	51.26	3	3	51	1	3.5	3.5	2	2.5	0	12	37	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.015	Y	.	capture-related mortality	1	13.015	11/11/2013	pronghorn feces	TRUE	2079.06	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	10+	years	pronghorn	adult	Antilocapra americana	Red02	Y	9891	47.16	kg	41.45159	-107.792	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-015 RDP	NR	NR	Bitter Creek	13-015	10	4	5	10	47.16	2	2	47	0.75	4	4	3	3	2	12	35	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.016	Y	7/20/15 not hers	alive	3	13.016	11/11/2013	pronghorn feces	TRUE	2052.81	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	11	years	pronghorn	adult	Antilocapra americana	Red16	Y	9891	55.46	kg	41.42633	-107.782	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-016 RDP	NR	NR	Bitter Creek	13-016	11	4	6	10	55.46	4	4	55	0	4	4	5	5	6	12	43	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
12842.13.017	Y	.	alive	3	13.017	11/11/2013	pronghorn feces	TRUE	2012.42	Host-asssociated	Animal	Animal distal gut	grassland biome	sagebrush steppe	animal-associated habitat	feces	host-associated	USA:WY:Red Desert	5+	years	pronghorn	adult	Antilocapra americana	Orange06	Y	9891	45.46	kg	41.3322	-107.736	BSU 4B	TRUE	12842	feces	feces metagenome	female	1861841	13-017 RDP	N	Positive	Baggs	13-017	5	3	3	5	45.46	1	2	45	0.5	3.5	4	4	4	2	12	41	Using the metagenome and metabolome to explain links between human disturbances and demographics of pronghorn
